timestamp,value,return_pct,trades_count
2026-01-04T09:18:57.251768,9995.84,-0.04159999999999855,1
2026-01-04T09:49:21.663689,10002.840825195197,0.02840825195196885,2
2026-01-04T10:19:45.939114,10001.195898089263,0.011958980892632098,3
2026-01-04T10:50:10.340051,10041.589623103158,0.4158962310315838,3
2026-01-04T11:20:34.702193,10044.955766854317,0.44955766854316603,3
2026-01-04T11:50:59.221040,10047.199862688423,0.4719986268842331,3
2026-01-04T12:21:23.494697,10041.589623103158,0.4158962310315838,3
2026-01-04T12:51:47.805826,10030.369143932632,0.3036914393263214,3
2026-01-04T13:22:12.512168,10040.467575186107,0.40467575186106847,3
2026-01-04T13:52:37.232964,10046.077814771368,0.46077814771368136,3
2026-01-04T14:23:01.633693,10033.73528768379,0.33735287683790377,3
2026-01-04T14:53:25.870471,10043.833718937265,0.43833718937265076,3
2026-01-04T15:23:52.231492,10063.13898226045,0.6313898226045058,5
2026-01-04T15:54:18.582664,10050.742804784875,0.5074280478487526,7
2026-01-04T16:24:44.858421,10076.839831316312,0.7683983131631249,8
2026-01-04T16:55:11.205463,10038.363990219332,0.38426706032865693,9
2026-01-04T17:25:37.540040,10059.122850529122,0.5887485911319162,10
2026-01-04T17:56:04.237554,10089.261818779483,0.8926181877948328,11
2026-01-04T18:26:30.562100,10087.125549146944,0.8712554914694373,13
2026-01-04T18:56:57.002649,10080.486833108953,0.8048683310895285,15
2026-01-04T19:27:25.392524,10058.181186651984,0.5817972657587961,17
2026-01-04T19:57:53.859038,10060.965755106325,0.6075233778026086,20
2026-01-04T20:28:24.296099,10036.316025683815,0.36313518307168124,24
2026-01-04T20:58:54.778008,10044.28323953568,0.4426718622620865,28
2026-01-04T21:29:25.092181,10066.501720403558,0.6650172040355755,28
2026-01-04T21:59:55.750038,10068.640167351374,0.6926254977430654,28
2026-01-04T22:30:26.215003,10069.188790734315,0.689962222594113,29
2026-01-04T23:00:56.408241,10053.720306955162,0.5360423828535932,29
2026-01-04T23:31:26.956497,10055.13518726905,0.5515124057852154,29
2026-01-05T00:01:57.133235,10094.63927459609,0.8919470553668907,29
2026-01-05T00:32:27.573404,10076.75765644493,0.7676029436924364,29
2026-01-05T01:02:57.882765,10119.016312055597,1.1895209881770825,31
2026-01-05T01:33:30.208265,10089.026078012534,0.888465446213031,34
2026-01-05T02:04:02.388158,10155.578894210636,1.5580350412204644,37
2026-01-05T02:34:34.617832,10186.960046809481,1.8696004680948137,42
2026-01-05T03:05:06.948086,10197.616257333753,1.9731595281663066,47
2026-01-05T03:35:39.254266,10190.417391018429,1.9035156210830975,50
2026-01-05T04:06:11.330516,10194.732654973777,1.9470052586126076,55
2026-01-05T04:36:43.630274,10192.887100922482,1.928874512718048,59
2026-01-05T05:07:15.877189,10192.6231607055,1.9262157108693099,63
2026-01-05T05:37:48.087973,10188.25469454813,1.882534786298911,66
2026-01-05T06:08:20.561110,10188.36011411158,1.8836011411157962,69
2026-01-05T06:38:52.812073,10190.217669521056,1.902175578006263,72
2026-01-05T07:09:25.121735,10180.862427182517,1.8086243877495873,76
2026-01-05T07:39:57.459084,10164.950450051416,1.6495045005141582,80
2026-01-05T08:10:29.956575,10210.42116665739,2.104211403585541,83
2026-01-05T08:41:02.386824,10237.507565380909,2.375072411774654,86
2026-01-05T09:11:34.652200,10246.236804162274,2.46236804162274,90
2026-01-05T09:42:06.882777,10228.266655822197,2.282665660142702,93
2026-01-05T10:12:39.110580,10179.518081044525,1.795180810445254,96
2026-01-05T10:43:11.412616,10193.07824837556,1.930782483755593,99
2026-01-05T11:13:43.714041,10197.719020321432,1.977190046082305,102
2026-01-05T11:44:15.905325,10175.297031202994,1.7529703119167244,105
2026-01-05T12:14:48.233483,10191.9279210813,1.919279216309151,109
2026-01-05T12:45:20.556478,10191.473069923857,1.914730699480715,113
2026-01-05T13:15:52.893395,10201.73649404557,2.0173649404572647,117
2026-01-05T13:46:25.364315,10202.530904695022,2.025309046792481,121
2026-01-05T14:16:57.783489,10212.021303194364,2.1202130319440404,124
2026-01-05T14:47:29.966169,10194.397237719433,1.9439723765325652,125
2026-01-05T15:18:04.244492,10183.19789505489,1.8319789506023882,129
2026-01-05T15:48:38.647410,10248.16257778206,2.4627451055236818,132
2026-01-05T16:19:13.079909,10261.435366442722,2.6287942735480283,137
2026-01-05T16:49:47.297043,10303.17506678804,3.047682676415625,140
2026-01-05T17:20:21.551453,10300.809776968126,2.980535905150755,144
2026-01-05T17:50:55.880609,10236.39930326353,2.34342723493226,149
